question,target,answer_0,answer_1,answer_2,answer_3,answer_4,answer_5,answer_6,answer_7,answer_8,answer_9,answer_10,answer_11,answer_12,answer_13,answer_14,answer_15,answer_16,answer_17,answer_18,answer_19,answer_20,answer_21,answer_22,answer_23,answer_24,answer_25,answer_26,answer_27,answer_28,answer_29,answer_30,answer_31,answer_32,answer_33,answer_34,answer_35,answer_36,answer_37,answer_38,answer_39,answer_40,answer_41,answer_42,answer_43,answer_44,answer_45,answer_46,answer_47,answer_48,answer_49,target_out_of_vocab
"What is the name of a child of guru tegh bahadur
",Guru Gobind Singh,Tegh Bahadur,Sukhwinder Singh,Navjot Singh,Sukhwinder Singh,Bhagwati,Navjot Singh,Bhagwati,Navjot Singh,Arun Bahadur,Sukhdev,Sukhdev Singh,Gulzar,Bhagwati,Navjot Singh,Sukhdev,Gulzar,Sukhdev Singh,Gulzar Bahadur,Kuldeep Bahadur,Arun Bahadur Singh,Arun Bahadur,Arun Bahadur Shah,Bhagwat,Navjot Singh,Sukhdev,Arunachalam,Gulzar,Sukhdev Singh,Arun Bahadur,Prithviraj,Bhagwat,Sukhdev,Prithviraj Singh,Gulshan,Navjot Singh,Hari Shankar,Arun Bahadur Singh,Arun Bahadur Shah,Sukhdev Singh,Arun Bahadur,Bhagwat,Navjot Singh,Kuldeep Singh,Arun Bahadur Singh,Arun Bahadur Shah,Yashpal Singh,Arunachalam,Bhagwat,Kuldeep Singh,Arun Bahadur Singh,False
"what instrument did carlo farina play 
",violin,guitar,guitar,guitar,guitar,guitar,piano,guitar,piano,guitar,piano,guitar,piano,guitar,piano,guitar,piano,guitar,piano,guitar,piano,guitar,piano,guitar,piano,guitar,piano,guitar,piano,guitar,piano,guitar,piano,guitar,piano,guitar,violin,piano,guitar,violin,piano guitar,piano guitar,guitars,piano guitar,piano keyboard,guitars,piano guitar,guitars,piano keyboard,piano guitar,guitars,False
"what was william windom's cause of death 
",heart failure,myocardial infarction,myocardial infarction,myocardial infarction,myocardial infarction,tuberculosis,myocardial infarction,tuberculosis,myocardial infarction,myocardial infarction,tuberculosis,myocardial infarction,lung cancer,tuberculosis,lung cancer,myocardial infarction,tuberculosis,lung cancer,myocardial infarction,cancer,lung cancer,cancer,pulmonary embolism,myocardial infarction,cancer,lung cancer,cancer,pulmonary embolism,myocardial infarction,lung cancer,cancer,lung cancer,cancer,myocardial infarction,pulmonary embolism,cancer,lung cancer,myocardial infarction,cancer,cancer,myocardial infarction,cancer,myeloma,stroke,cancer,stroke,cancer,myeloma,stroke,cancer,myeloma,False
"Who would be called a reggae artist
",Marcia Griffiths,Snoop Dogg,Yoko Ono,Yoko Ono,Yoko Ono,Sonny Rollins,Yoko Ono,Sonny Rollins,Sammy Hagar,David Bowie,Afrobeats,David Guetta,Sonny Boy Williams,Irwin Allen,David Bowie,Afrobeats,Sonny Boy Williams,John Mayer,Irwin Allen,Sonny Boy Williamson,John Mayer,Sonny Boy Williams,Afrobeats,Sonny Boy Williamson,John Mayall,John Mayer,Sonny Boy Williams,Freddie King,Afrojack,Sasha,John Mayall,Sonny Boy Williamson,J.P.,Sonny Boy Williams,John Mayer,Afrobeat,Iraq,Iraq Khan,Michael Jackson,Iraqi,Afrojack,John Mayall,Sonny Boy Williamson,David Guetta Jr.,Yvonne,Michael Jackson,Afrobeat,Iraq,Michael Jackson Jr.,Michael Jackson,Freddie King,False
"Who's a footballer that plays for cali
",Jimmy Estacio,Yuri Gagarin,Yuri Gagarin,Yuri Gagarin,Joey Aguilar,Joey Ayala,Joey Aguilar,John Aguilar,Kevin O'Brien,Joey Ayala,Joey Aguilar,John Aguilar,John Aguirre,John Ayala,Joey Ayala,Joey Aguilar,Joey O'Brien,Yuri Garayan,John McKinley,John McLean,Yuri Garayan,Yuri Garay,John McKinney,John McKinley,Joey Snider,J.R. Smith,Yuri Garayan,John McLean,Joey Acosta,Yuri Garay,John McKinney,Kevin McLean,Joey Osborne,John Clements,Yuri Garay,Joey Garcia,Kevin O'Brian,David Perez,John Clements Jr.,Joey Garcia,David Perrin,Joey O'Brian,Joey Garcia,Sami Alamo,John Sullivan,Joey Garcia,John Cannon,Joey Garcia,John Clemente,Joey Sula,Jeremy Smith,False
"which genre is the herb alpert's ninth album 
",Latin pop,punk rock,punk rock,punk rock,alternative rock,punk rock,alternative rock,punk rock,alternative rock,pop punk,rock music,alternative rock,punk rock,pop punk,rock music,alternative rock,punk rock,pop punk,rock music,alternative rock,pop punk,rock music,alternative rock,rockabilly,rock music,alternative rock,rock music,alternative rock,rock music,jazz,alternative rock,jazz,alternative rock,jazz,alternative rock,jazz,jazz,hard rock,alternative rock,jazz,alternative metal,jazz,funk,funk,funk,punk metal,punk metal,punk metal,punk metal,rock music.,rock music.,False
"whats that nationality of  mariusz hermanowicz
",Poland,Poland,Poland,Poland,Poland,Poland,Poland,Poland,Poland,Poland,Poland,Poland,Poland,Poland,Poland,Poland,Poland,Poland,Poland,Poland,Poland,Poland,Poland,Poland,Poland,Poland,United Kingdom,United Kingdom,Polish people,United Kingdom,Polish people,United Kingdom,Polish Empire,Polish people,United Kingdom,Polish Empire,Polish people,United Kingdom,Polish Empire,Polish people,United Kingdom,Polish Empire,Polish people,United Kingdom,Polish Federation,United Kingdom,Polish Empire,United Kingdom,United Kingdom,Germany,United Kingdom,False
"what kind of language film is agila
",Filipino,Hindi,Hindi,Hindi,Hindi,Hindi,Hindi,Hindi,Hindi,Hindi,English,Hindi,English,Hindi,English,Hindi,English,Hindi,English,Hindi,English,Hindi,English,Hindi,English,Hindi,English,Hindi,English,Hindi,English,Hindi,English,Hindi,English,Hindi,English,Tamil,Hindi,English,Tamil,Hindi,English,Tamil,Hindi,English,Tamil,English,Tamil,English,Tamil,False
"what is the gameplay mode of rowan's battle of britain
",single-player video game,single-player video game,single-player video game,single-player video game,single-player video game,single-player video game,single-player video game,single-player video game,multiplayer video game,single-player video game,multiplayer video game,multiplayer video game,single-player video game,multiplayer video game,single-player video game,multiplayer video game,single-player video game,multiplayer video game,single-player video game,multiplayer video game,single-player video game,multiplayer video game,single-player video game,multiplayer video game,single-player video game,multiplayer video game,single-player video game,multiplayer video game,single-player video game,multiplayer video game,multiplayer video game,single-player video game,multiplayer video game,single-player video game,multiplayer video game,single-player video game,multiplayer video game,single-player videogame,single-player video game,multiplayer video game,single-player videogame,single-player video game,multiplayer video game,single-player videogame,single-player video game,multiplayer video game,single-player videogame,single-player video game,multiplayer video game,single-player videogame,single-player video game,False
"what position does Ángel morales play 
",midfielder,midfielder,midfielder,midfielder,midfielder,midfielder,midfielder,defender,midfielder,defender,goalkeeper,defender,midfielder,goalkeeper,defender,midfielder,goalkeeper,forward,defender,midfielder,goalkeeper,forward,defender,forward,goalkeeper,midfielder,forward,defender,goalkeeper,midfielder,forward,defender,goalkeeper,forward,midfielder,defender,forward,midfielder,forward,defender,forward,midfielder,forward,midfielder,forward,midfielder,midfielder,midfielder,defender.,defender.,defender.,False
"what type of program is seven swordsmen
",wuxia,drama film,drama film,reality television,drama film,reality television,drama film,reality television,drama film,reality television,reality television,drama film,reality television,adventure film,drama film,reality television,reality television,drama film,adventure film,reality television,drama film,reality television,adventure film,drama film,reality television,adventure film,drama film,reality television,adventure game,drama film,reality television,adventure game,drama film,adventure game,fantasy,drama film,adventure game,drama film,adventure game,adventure game,reality TV,reality television program,reality television series,reality television program,reality television series,reality television program,reality television series,reality television program,reality television series,reality television program,reality television series,False
"What genre of music does the band foxboro hot tubs make
",indie rock,alternative rock,punk rock,alternative rock,punk rock,alternative rock,punk rock,rock music,alternative rock,rock music,punk rock,alternative rock,rock music,indie rock,punk rock,alternative rock,rock music,alternative rock,punk rock,indie rock,rock music,alternative rock,punk rock,rock music,alternative rock,rock music,alternative rock,rock music,alternative rock,rock music,hard rock,alternative rock,rock music,alternative rock,rock music,hard rock,rock music,alternative rock,hard rock,country music,alternative rock,hard rock,alternative rock,hard rock,alternative rock,hard rock,punk metal,punk metal,punk metal,indie metal,punk metal,False
"What is the name of a famous Thai politician?
",Pongsapat Pongcharoen,Arunachalai,Arunachalai,Thaksin Shinawatra,Arunachalai,Thaksin Shinawatra,Arunachalai,Arunachalaik,Thaksin Shinawatra,Arunachalai,Phra Kaew,Angkor Wat,Arunachalaik,Arunachalai,Chaiyadej,Arunachalaip,Angkor Wat,Phra Kaew,Arunachalaik,Thaksin,Chaiyadej,Arunachalaik,Sukhumvit,Arunachalaip,Arunachalai,Thaksin,Khun Yen,Angkor Wat,Arunachala,Phra Kaewon,Arunachalaik,Lao Tsui,Sukhumvit,Khun Yen,Thaksin,Chaiyadee,Angkor Wanai,Arunachala,Phra Kaewon,Phra Kaeo,Somchai,Thaksin,Lao Tsang,Chaiyadee,Thongsai,Thongsuwan,Yongsuwan,Khun Xiang,Angkor Wana,Thongsuwan,Yongsuwan,False
"what artist recorded pumpkin?
",Buckethead,Def Jam,Sly Stone,Def Jam,Sly Stone,John Mayer,Def Jam,Sly Stone,Def Jam Records,Michael Bublé,John Mayer,Def Jam,Sly Stone,Michael Bublé,Def Jam Records,John Mayer,Def Jam,Axl Rose,Sly Stone,Michael Bublé,Def Jam Records,John Mayer,Def Jam,Sly Stone,Def Jam Records,Def Jam,Michael Buble,Michael Jackson,Def Jam Records,Def Jam,Michael Buble,Michael Jackson,Axwell,Def Jam Records,Def Jam,Michael Buble,Michael Jackson,Axwell,Def Jam Records,Axl,The Black Crowe,Def Jam Records,Slash,Axl,Slayer,Def Jam Records,Slash,Slayer,Snoop Dog,Snoop Dog,Slayers,False
"charles william, duke of saxe-meiningen died where?
",Sonneberg,Berlin,Munich,Berlin,Munich,Berlin,Munich,Berlin,Munich,Berlin,Munich,Berlin,Munich,Berlin,Munich,Berlin,Munich,Berlin,Hamburg,Munich,Berlin,Hamburg,Munich,Berlin,Hamburg,Munich,Berlin,Hamburg,Munich,Berlin,Hamburg,Munich,Dresden,Berlin,Vienna,Hamburg,Munich,Dresden,Berlin,Vienna,Munich Castle,Munich Castle,Berlin Castle,Munich Castle,Berlin Castle,Saxe,Munich Castle,Saxe,Berlin Castle,Saxe,Munich Castle,False
"what's gabriele santini's gender
",male,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,male,female,male,female,male,female,male,female,male,female,male,female,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,False
"which body of water can be seen from the fort madison toll bridge 
",Mississippi River,Mississippi River,Mississippi River,Mississippi River,Mississippi River,Mississippi River,Mississippi River,Atlantic Ocean,Mississippi River,Lake Michigan,Atlantic Ocean,Mississippi River,Lake Michigan,Atlantic Ocean,Mississippi River,Lake Michigan,Atlantic Ocean,Mississippi River,Lake Michigan,Atlantic Ocean,Mississippi River,Lake Michigan,Atlantic Ocean,Mississippi River,Lake Michigan,Mississippi River,Ohio River,Lake Michigan,Mississippi River,Lake Michigan,Ohio River,Lake Superior,Mississippi River,Lake Michigan,Ohio River,Lake Superior,Mississippi River,Lake Michigan,Lake Superior,Ohio River,Lake Michigan,Grand Lake,Missouri River,Mississippi River,Lake Superior,Lake Michigan,Ohio River,Lake Superior,Grand Lake,Colorado River,Missouri River,False
"Which film did giuseppe rotunno do the cinematography for
",A Night Full of Rain,La Dolce Vita,La Dolce Vita,The Night of the Living Dead,La Dolce Vita,The Man Who Knew Too Much,The Man Who Couldn't,La Dolce Vita,Apocalyptica,The Night of the Living Dead,The Man Who Couldn't,Apocalyptica,Viva La Vida,The Night of the Living Dead,The Man in the High Castle,Into the Woods,The Man Who Would Be King,The Girl Next Door,Apocalyptica,Viva La Vida!,The Man Who Couldn’t,The Man Who Couldn't,Into the Woods,Viva La Vida,Into the Wilderness,Apocalyptica,The Man in the High Castle,Into the Woods,Viva La Vida!,A Little Night Music,The Man in the Iron Mask,La Traviata,Viva La Vida,The Secret of the Sea,The Night of the Hunter,Into the Woods,Inferno,La Bohème,A Little Night Music,Viva La Vida!,The Secret of the Sea,The Man Who Couldn't,A Little Night Music,The Man Who Knew Everything,The Night of the Hunter,A Little Night Music,Into the Wild,The Secret of the Sword,The Man Who Knew,The Man Who Couldn’t,The House of Usher,False
"where is akinori iwamura from
",Uwajima,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Tokyo,Japan,Tokyo,Japan,Tokyo,Japan,Tokyo,Japan,Tokyo,Japan,Tokyo,Japan,Tokyo,Japan,Tokyo,Japan,Tokyo,Japan,Tokyo,Japan,Tokyo,Japan,Tokyo,Japan,Tokyo,Tokyo,Tokyo,Tokyo,Tokyo,Tokyo,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,Tokyo City,Tokyo City,False
"Who is a famous african american
",Dwight York,John F. Kennedy,Billie Holiday,John F. Kennedy,John F. Kennedy,George W. Bush,John F. Kennedy,Richard Pryor,George W. Bush,John F. Kennedy,John D. Williams,Robert E. Lee,George Washington,John C. Smith,John D. Davis,George Washington,John D. Williams,John F. Kennedy,George Washington,John D. Davis,Norma Jean King,Michael Jackson Jr.,Paula Deen,John F. Kennedy,John F. Campbell,Richard Payne,John D. Williams,John D. Davis,Michael Jackson Jr.,Robert E. Howard,Michael J. Fox,John C. Smith,John D. Williams,John D. Davis,William H. Smith,Michael J. Fox,Robert E. Lee Smith,Michael Jackson,George Washington White,John D. Williamson,Claude Lewis,Michael Jackson,William H. Smith,George Washington White,Norma Jean,Paula Smith,John D. Williamson,George Washington University,John D. Williams,John F. Kennedy III,George Washington Whitehouse,False
"Name a professional singer-songwriter
",Kristen Hall,Yvonne Strahovski,John Lennon,Yvonne Strahovski,John Lennon,John Lennon,Yuri Gagarin,John McLaughlin,Yuri Gagarin,Yvonne Strahovsky,John Lennon,Jermaine Jones,Yuri Gagarin,Yvonne Strahovsky,John Lennon,John McLaughlin,Jermaine Jones,John Lennon,Jermaine Jones,John Lennon,Pauline Oliveros,David Stratton,Pauline Oliveros,David Strathairn,John Cage,Paula McLean,David Bowie,Pauline Oliveros,David Stratton,David Strathairn,John Cage,Pauline Oliveros,Paula McLean,David Bowie,"John Cage, Jr.",Paula McLean,David Bowie,John Cage,Sasha Yen,Paula McLean,Pauline Oliver,Sasha Yen,David Stratton-Smith,Pauline Oliver,David Stratton-Smith,Sally Ride,Pauline Oliver,Sally Ride,Pauline Oliver,Joey Deegan,Joey Bates,False
"Who produced the movie house of the dead
",Uwe Boll,Steven Spielberg,James Wan,John Carpenter,James Wan,John Carpenter,David Lean,James Wan,John Carpenter,David Lean,John Carpenter,David Lean,George Lucas,John Carpenter,George Lucas,John Carpenter,David Lean,George Lucas,John Carpenter,George Lucas,John Carpenter,David Lynch,John Carpenter,James Cameron,John Carpenter,David Lynch,James Cameron,John Ford,John Carpenter,James Cameron,Michael Mann,David Lynch,John Ford,Michael Bay,John Carpenter,James Cameron,David Lynch,Michael Mann,John Carpenter,Michael Bay,Michael Mann,Michael Bay,David Lynch,Michael Bayer,Michael Bayer,Michael Bayer,David Leitch,Michael Manning,David Leitch,Michael Manning,Michael Manning,False
"where in arizona did virginia d. smith live the final days of her life
",Sun City West,Phoenix,Phoenix,Phoenix,Phoenix,Phoenix,Phoenix,Phoenix,Phoenix,Phoenix,Phoenix,Phoenix,Phoenix,Phoenix,Scottsdale,Phoenix,Tucson,Scottsdale,Phoenix,Tucson,Scottsdale,Phoenix,Tucson,Scottsdale,Phoenix,Tucson,Scottsdale,Phoenix,Tucson,Scottsdale,Phoenix,Tucson,Scottsdale,Phoenix,Tucson,Scottsdale,Phoenix,Tucson,Scottsdale,Phoenix,Tucson,Scottsdale,Phoenix,Tucson,Scottsdale,Phoenix,Tucson,Scottsdale,Phoenix,Tucson,Scottsdale,False
"What country is the film sedin dujone from?
",India,India,India,India,India,India,Turkey,India,Turkey,India,Turkey,India,Turkey,India,Turkey,India,Turkey,India,Turkey,India,Turkey,India,Turkey,India,Turkey,India,Turkey,India,Turkey,India,Turkey,India,Turkey,India,Turkey,India,Turkey,India,Pakistan,Turkey,India,Pakistan,Turkey,India,India.,India.,India.,"India,","India,","India,","India,",False
"what is the language spoken in kumara sambhavam
",Malayalam,Telugu,Tamil,Telugu,Tamil,Telugu,Tamil,Tamil,Telugu,Tamil,Telugu,Tamil,Tamil,Telugu,Tamil,Telugu,Tamil,Tamil,Telugu,Tamil,Telugu,Tamil,Tamil,Telugu,Tamil,Telugu,Tamil,Tamil,Telugu,Tamil,Telugu,Tamil,Tamil,Telugu,Tamil,Telugu,Tamil,Tamil,Telugu,Tamil,Telugu,Tamil,Hindi,Tamil,Telugu,English,Telugu,Telugu,Tamil language,Tamil language,Tamil language,False
